phase,readout,gate,seed,validation_accuracy,ood_accuracy,unseen_count_accuracy,min_eigenvalue,negative_fraction,spectral_radius,contraction_certified
preregistered,memory_only,current,101,0.505859375,0.515625,0.5201511335012594,0.21323829889297485,0.0,0.9949354529380798,True
preregistered,memory_only,safe,109,0.474609375,0.509765625,0.5091623036649214,0.30786198377609253,0.0,0.9959554672241211,True
preregistered,full,expressive,108,0.556640625,0.5009765625,0.48854961832061067,0.526523232460022,0.0,0.9952268600463867,True
preregistered,memory_only,current,109,0.47265625,0.5126953125,0.5104712041884817,0.22579389810562134,0.0,0.9959832429885864,True
preregistered,memory_only,current,102,0.5,0.4951171875,0.5,0.1047547459602356,0.0,0.9964334964752197,True
preregistered,memory_only,safe,103,0.521484375,0.4931640625,0.4703656998738966,0.0999944806098938,0.0,0.9955938458442688,True
preregistered,memory_only,expressive,110,0.486328125,0.49609375,0.4870801033591731,0.13407814502716064,0.0,0.9967761635780334,True
preregistered,full,current,104,0.576171875,0.505859375,0.4891443167305236,0.5015726089477539,0.0,0.9953925609588623,True
preregistered,memory_only,current,105,0.474609375,0.498046875,0.5103359173126615,0.14610552787780762,0.0,0.9961291551589966,True
preregistered,full,expressive,109,0.525390625,0.5205078125,0.5143979057591623,0.386231005191803,0.0,0.9954085946083069,True
preregistered,memory_only,current,110,0.494140625,0.48046875,0.4702842377260982,0.2001670002937317,0.0,0.9968106150627136,True
preregistered,full,current,103,0.54296875,0.498046875,0.4817150063051702,0.1022002100944519,0.0,0.9950315952301025,True
preregistered,full,safe,106,0.568359375,0.4990234375,0.49496221662468515,0.45668327808380127,0.0,0.9957982897758484,True
preregistered,full,current,101,0.564453125,0.5029296875,0.5100755667506297,0.3026078939437866,0.0,0.9952479004859924,True
preregistered,full,expressive,110,0.58203125,0.494140625,0.4806201550387597,0.40359580516815186,0.0,0.9959143996238708,True
preregistered,full,safe,108,0.5625,0.5068359375,0.48982188295165396,0.5688798427581787,0.0,0.9953165054321289,True
preregistered,full,expressive,105,0.49609375,0.5146484375,0.5142118863049095,-0.564423143863678,1.0,0.9961376786231995,True
preregistered,memory_only,expressive,102,0.9765625,0.912109375,0.9077306733167082,-0.9997357130050659,1.0,0.9997357130050659,True
preregistered,memory_only,expressive,107,0.939453125,0.87890625,0.8670886075949367,-0.9998189806938171,1.0,0.9998189806938171,True
preregistered,memory_only,expressive,105,0.9765625,0.951171875,0.9470284237726099,-0.9962415099143982,1.0,0.9962415099143982,True
preregistered,memory_only,safe,105,0.46875,0.498046875,0.5077519379844961,0.3482852578163147,0.0,0.996067225933075,True
preregistered,full,current,102,0.49609375,0.494140625,0.4850374064837905,0.1322857141494751,0.0,0.9957246780395508,True
preregistered,memory_only,current,107,0.51171875,0.5087890625,0.5164556962025316,0.12443137168884277,0.0,0.9952142238616943,True
preregistered,full,safe,102,0.50390625,0.490234375,0.4925187032418953,0.37172257900238037,0.0,0.9956080317497253,True
preregistered,full,expressive,102,0.53515625,0.494140625,0.48877805486284287,-0.8610405921936035,1.0,0.9957077503204346,True
preregistered,memory_only,current,106,0.53125,0.4951171875,0.4899244332493703,0.38538914918899536,0.0,0.9963608384132385,True
preregistered,full,current,109,0.525390625,0.533203125,0.5222513089005235,0.390913188457489,0.0,0.9954954385757446,True
preregistered,full,expressive,104,0.970703125,0.9140625,0.913154533844189,-0.9992302656173706,1.0,0.9992302656173706,True
preregistered,memory_only,safe,101,0.4921875,0.4970703125,0.4924433249370277,0.4606219530105591,0.0,0.9954811334609985,True
preregistered,memory_only,expressive,109,0.478515625,0.51171875,0.5117801047120419,0.13620120286941528,0.0,0.996025562286377,True
preregistered,memory_only,safe,107,0.521484375,0.4921875,0.49873417721518987,0.3157086968421936,0.0,0.9957232475280762,True
preregistered,memory_only,expressive,108,0.54296875,0.52734375,0.5381679389312977,0.08789700269699097,0.0,0.9966202974319458,True
preregistered,memory_only,safe,110,0.5078125,0.47265625,0.4664082687338501,0.266054630279541,0.0,0.9967750906944275,True
preregistered,full,expressive,106,0.541015625,0.5068359375,0.5050377833753149,0.39424365758895874,0.0,0.9959046244621277,True
preregistered,full,safe,104,0.583984375,0.50390625,0.49169859514687103,0.5126962661743164,0.0,0.9954232573509216,True
preregistered,memory_only,current,104,0.55078125,0.5029296875,0.48531289910600256,-0.0036936402320861816,1.0,0.995368242263794,True
preregistered,memory_only,current,108,0.5390625,0.5283203125,0.5330788804071247,0.21419113874435425,0.0,0.9964503049850464,True
preregistered,full,safe,101,0.544921875,0.4990234375,0.5100755667506297,0.38818395137786865,0.0,0.9951974749565125,True
preregistered,full,current,107,0.533203125,0.5078125,0.5101265822784811,0.3880053162574768,0.0,0.9958444237709045,True
preregistered,full,expressive,107,0.521484375,0.498046875,0.4936708860759494,0.37505972385406494,0.0,0.995686411857605,True
preregistered,memory_only,expressive,103,0.98828125,0.9501953125,0.9445145018915511,-0.9910235404968262,1.0,0.9965205192565918,True
preregistered,full,expressive,101,0.546875,0.501953125,0.5025188916876574,0.13997381925582886,0.0,0.9953187108039856,True
preregistered,full,current,108,0.55859375,0.505859375,0.5050890585241731,0.5370769500732422,0.0,0.9952393770217896,True
preregistered,memory_only,safe,102,0.5,0.4990234375,0.5037406483790524,0.28621894121170044,0.0,0.9962286949157715,True
preregistered,memory_only,current,103,0.52734375,0.498046875,0.47414880201765447,0.008476674556732178,0.0,0.9955216646194458,True
preregistered,memory_only,expressive,101,0.4921875,0.517578125,0.5138539042821159,0.10654205083847046,0.0,0.9955778121948242,True
preregistered,full,current,106,0.560546875,0.49609375,0.49496221662468515,0.41062116622924805,0.0,0.9958028197288513,True
preregistered,memory_only,expressive,104,0.96875,0.9306640625,0.9220945083014048,-0.9960026741027832,1.0,0.9960026741027832,True
preregistered,full,current,110,0.5390625,0.49609375,0.479328165374677,0.44904565811157227,0.0,0.995909571647644,True
preregistered,full,expressive,103,0.943359375,0.861328125,0.8474148802017655,-0.9965724349021912,1.0,0.9965724349021912,True
preregistered,full,current,105,0.501953125,0.509765625,0.5090439276485789,0.4269081950187683,0.0,0.9957783222198486,True
preregistered,memory_only,safe,106,0.53515625,0.49609375,0.4899244332493703,0.42683714628219604,0.0,0.9963261485099792,True
preregistered,full,safe,110,0.546875,0.49609375,0.4844961240310077,0.4527510404586792,0.0,0.9958962202072144,True
preregistered,full,safe,109,0.53515625,0.5205078125,0.5104712041884817,0.44306254386901855,0.0,0.9955268502235413,True
preregistered,memory_only,safe,108,0.546875,0.5234375,0.5305343511450382,0.3037254810333252,0.0,0.9963470101356506,True
preregistered,memory_only,expressive,106,0.53125,0.4931640625,0.4899244332493703,0.34102338552474976,0.0,0.996368408203125,True
preregistered,full,safe,103,0.513671875,0.4931640625,0.4817150063051702,0.3698576092720032,0.0,0.9955190420150757,True
preregistered,full,safe,107,0.529296875,0.5185546875,0.5227848101265823,0.38967734575271606,0.0,0.9957770109176636,True
preregistered,full,safe,105,0.48828125,0.5078125,0.5012919896640827,0.46787744760513306,0.0,0.995743453502655,True
preregistered,memory_only,safe,104,0.54296875,0.505859375,0.4840357598978289,0.07431697845458984,0.0,0.9952349066734314,True
gate_init_followup,memory_only,current,201,0.51953125,0.4736328125,0.4805194805194805,0.22026044130325317,0.0,0.9962155222892761,True
gate_init_followup,memory_only,safe,209,0.52734375,0.51171875,0.49167733674775926,0.08654952049255371,0.0,0.9951157569885254,True
gate_init_followup,full,expressive,208,0.9765625,0.9306640625,0.9227799227799228,-0.9938977360725403,1.0,0.9954380393028259,True
gate_init_followup,memory_only,current,209,0.541015625,0.5048828125,0.49039692701664533,-0.002086043357849121,0.6488800048828125,0.9951528310775757,True
gate_init_followup,memory_only,current,202,0.498046875,0.4970703125,0.4820051413881748,0.24074172973632812,0.0,0.996166467666626,True
gate_init_followup,memory_only,safe,203,0.548828125,0.5078125,0.5104166666666666,0.38888752460479736,0.0,0.996381402015686,True
gate_init_followup,memory_only,expressive,210,0.984375,0.943359375,0.9339378238341969,-0.995448648929596,1.0,0.9963424801826477,True
gate_init_followup,full,current,204,0.50390625,0.4619140625,0.45796737766624845,0.006478428840637207,0.0,0.9951582551002502,True
gate_init_followup,memory_only,current,205,0.525390625,0.4970703125,0.48341836734693877,0.09580177068710327,0.0,0.995121419429779,True
gate_init_followup,full,expressive,209,0.984375,0.9599609375,0.9603072983354674,-0.9939917922019958,1.0,0.9949216246604919,True
gate_init_followup,memory_only,current,210,0.51953125,0.484375,0.4883419689119171,0.030287623405456543,0.0,0.9951849579811096,True
gate_init_followup,full,current,203,0.53515625,0.49609375,0.4895833333333333,0.3378336429595947,0.0,0.9955111742019653,True
gate_init_followup,full,safe,206,0.548828125,0.52734375,0.5138539042821159,0.37496912479400635,0.0,0.9957108497619629,True
gate_init_followup,full,current,201,0.53515625,0.48046875,0.4818181818181818,0.38016968965530396,0.0,0.9956711530685425,True
gate_init_followup,full,expressive,210,0.98046875,0.9345703125,0.9261658031088082,-0.9945183992385864,1.0,0.9949761629104614,True
gate_init_followup,full,safe,208,0.54296875,0.478515625,0.47361647361647363,0.3620077967643738,0.0,0.9954752326011658,True
gate_init_followup,full,expressive,205,0.99609375,0.9287109375,0.9209183673469388,-0.9942459464073181,1.0,0.995747983455658,True
gate_init_followup,memory_only,expressive,202,0.935546875,0.8486328125,0.8290488431876607,-0.9998136162757874,1.0,0.9998136162757874,True
gate_init_followup,memory_only,expressive,207,0.931640625,0.861328125,0.8629961587708067,-0.9997811913490295,1.0,0.9997811913490295,True
gate_init_followup,memory_only,expressive,205,0.984375,0.9541015625,0.9464285714285714,-0.9944078922271729,1.0,0.9959217309951782,True
gate_init_followup,memory_only,safe,205,0.50390625,0.51953125,0.5102040816326531,0.06799286603927612,0.0,0.9953674077987671,True
gate_init_followup,full,current,202,0.513671875,0.4755859375,0.46272493573264784,-0.0024250149726867676,0.3034820556640625,0.9944314360618591,True
gate_init_followup,memory_only,current,207,0.525390625,0.517578125,0.5134443021766966,0.19123637676239014,0.0,0.996674656867981,True
gate_init_followup,full,safe,202,0.515625,0.4677734375,0.45115681233933164,0.09919285774230957,0.0,0.9941920638084412,True
gate_init_followup,full,expressive,202,0.966796875,0.9033203125,0.8817480719794345,-0.9966995120048523,1.0,0.9966995120048523,True
gate_init_followup,memory_only,current,206,0.525390625,0.4990234375,0.48866498740554154,0.1473432183265686,0.0,0.9962400197982788,True
gate_init_followup,full,current,209,0.484375,0.5029296875,0.5083226632522407,0.4553155303001404,0.0,0.9961915016174316,True
gate_init_followup,full,expressive,204,0.96875,0.919921875,0.918444165621079,-0.9964471459388733,1.0,0.9964471459388733,True
gate_init_followup,memory_only,safe,201,0.515625,0.4794921875,0.4831168831168831,0.26010674238204956,0.0,0.9962295889854431,True
gate_init_followup,memory_only,expressive,209,0.529296875,0.4951171875,0.4839948783610755,-0.4866218566894531,1.0,0.9955235719680786,True
gate_init_followup,memory_only,safe,207,0.53125,0.5185546875,0.5134443021766966,0.28328657150268555,0.0,0.9965311884880066,True
gate_init_followup,memory_only,expressive,208,0.501953125,0.49609375,0.5032175032175032,-0.7711466550827026,1.0,0.9957799911499023,True
gate_init_followup,memory_only,safe,210,0.515625,0.4814453125,0.48704663212435234,0.17007505893707275,0.0,0.9951962828636169,True
gate_init_followup,full,expressive,206,0.494140625,0.494140625,0.49622166246851385,-0.32402944564819336,0.565155029296875,0.9951654672622681,True
gate_init_followup,full,safe,204,0.50390625,0.4755859375,0.4755332496863237,0.12517791986465454,0.0,0.9950472116470337,True
gate_init_followup,memory_only,current,204,0.490234375,0.474609375,0.4780426599749059,0.19404274225234985,0.0,0.9965348243713379,True
gate_init_followup,memory_only,current,208,0.517578125,0.501953125,0.5045045045045045,0.16232025623321533,0.0,0.9962820410728455,True
gate_init_followup,full,safe,201,0.521484375,0.498046875,0.5025974025974026,0.4352206587791443,0.0,0.9957520961761475,True
gate_init_followup,full,current,207,0.48828125,0.53125,0.5313700384122919,0.21650445461273193,0.0,0.9951736330986023,True
gate_init_followup,full,expressive,207,0.9765625,0.9345703125,0.9257362355953905,-0.9950241446495056,1.0,0.9951570630073547,True
gate_init_followup,memory_only,expressive,203,0.978515625,0.9423828125,0.9348958333333334,-0.9975940585136414,1.0,0.9975940585136414,True
gate_init_followup,full,expressive,201,0.974609375,0.923828125,0.9181818181818182,-0.997702419757843,1.0,0.997702419757843,True
gate_init_followup,full,current,208,0.560546875,0.5009765625,0.4942084942084942,0.30985355377197266,0.0,0.9955564141273499,True
gate_init_followup,memory_only,safe,202,0.478515625,0.4951171875,0.4768637532133676,0.30551016330718994,0.0,0.9961238503456116,True
gate_init_followup,memory_only,current,203,0.54296875,0.5048828125,0.5104166666666666,0.33768272399902344,0.0,0.9964547157287598,True
gate_init_followup,memory_only,expressive,201,0.94140625,0.8662109375,0.8675324675324675,-0.9998228549957275,1.0,0.9998228549957275,True
gate_init_followup,full,current,206,0.51171875,0.5283203125,0.5239294710327456,0.30431413650512695,0.0,0.9954959154129028,True
gate_init_followup,memory_only,expressive,204,0.96484375,0.9189453125,0.9134253450439147,-0.9936670660972595,1.0,0.9960494637489319,True
gate_init_followup,full,current,210,0.51171875,0.4990234375,0.5142487046632125,0.23523730039596558,0.0,0.9953306913375854,True
gate_init_followup,full,expressive,203,0.9765625,0.9375,0.92578125,-0.9944579601287842,1.0,0.9957970380783081,True
gate_init_followup,full,current,205,0.5,0.5087890625,0.5114795918367347,0.2994648218154907,0.0,0.9949775338172913,True
gate_init_followup,memory_only,safe,206,0.513671875,0.4970703125,0.48866498740554154,0.26775896549224854,0.0,0.9960401058197021,True
gate_init_followup,full,safe,210,0.51953125,0.49609375,0.5,0.3719733953475952,0.0,0.9952369928359985,True
gate_init_followup,full,safe,209,0.55078125,0.5009765625,0.4980793854033291,0.46512287855148315,0.0,0.9961355924606323,True
gate_init_followup,memory_only,safe,208,0.517578125,0.5009765625,0.5045045045045045,0.22605198621749878,0.0,0.9963254332542419,True
gate_init_followup,memory_only,expressive,206,0.98046875,0.9482421875,0.9395465994962217,-0.9899417161941528,1.0,0.9962397813796997,True
gate_init_followup,full,safe,203,0.544921875,0.49609375,0.5026041666666666,0.30943387746810913,0.0,0.9959069490432739,True
gate_init_followup,full,safe,207,0.5234375,0.517578125,0.5172855313700384,0.34863781929016113,0.0,0.9957150816917419,True
gate_init_followup,full,safe,205,0.494140625,0.5029296875,0.5038265306122449,0.3123522996902466,0.0,0.9952771663665771,True
gate_init_followup,memory_only,safe,204,0.49609375,0.470703125,0.47051442910915936,0.2306731939315796,0.0,0.9964964985847473,True
